数据期数	指标数	有效编码数	第一次播报均价	第二次播报均价	最低成交价	平均成交价	最低成交价成交编码数	最低成交价报价编码数	最低成交价最后报价时间	成交编码数	实际付款指标数	本期剩余指标
2015.02	3912	1578	15522	17021	10000	22173	12	12	14:38:09.216	1417	1333	2579
2015.03	6491	742	12385	12637	10000	14565	23	23	13:39:47.935	529	524	5967
2015.04	9878	10281	11125	11341	10000	12091	616	616	14:58:51.476	8975	8931	947
2015.05	3880	10646	11198	11426	12000	13702	1041	58	09:00:49:779	3880	3866	14
2015.06	2947	16393	13806	14321	17800	19496	88	82	14:52:35:531	2947	2943	4
2015.07	2937	19179	18143	19708	29100	31805	99	40	13:40:25.954	2937	2931	6
2015.08	2939	14948	27310	30113	49100	54237	19	10	13:35:51.989	2939	2927	12
2015.09	2945	7625	35037	38079	10800	50665	6	5	12:14:07.535	2945	2502	443
2015.10	3376	7299	16483	17157	15000	23788	212	20	09:00:45.087	3376	3340	36
2015.11	2969	10822	16140	17028	20000	23723	439	210	10:15:07.984	2969	2964	5
2015.12	2938	12267	18380	19388	25000	27617	429	219	11:55:30.872	2938	2932	6
2016.01	2934	12576	18443	19695	25800	28669	96	29	13:02:00.590	2934	2928	6
2016.02	2940	11541	18918	20477	27000	29043	154	74	13:08:39.975	2940	2933	7
2016.03	2941	11261	21734	23389	30100	31956	309	278	14:17:19.455	2941	2938	3
2016.04	2937	12371	25431	17427	36300	39658	57	18	13:10:19.270	2937	2930	7
2016.05	2940	11479	28353	30914	42600	45992	47	31	14:06:45.930	2940	2932	8
2016.06	2941	9075	30527	33653	45900	51237	10	10	14:56:36.831	2941	2923	18
2016.07	2951	7128	31022	34133	36500	48577	9	1	09:00:18.418	2951	2935	16
2016.08	2949	6719	28965	30680	34500	40501	32	17	14:56:28.789	2949	2943	6
2016.09	2939	7183	29042	30883	36300	39729	27	20	14:15:01.339	2939	2931	8
2016.10	2941	6666	30061	32325	38000	40894	179	34	09:26:09.401	2941	2933	8
2016.11	2941	6971	32511	34823	40000	42516	207	156	13:35:52.976	2941	2937	4
2016.12	2937	6498	31793	33896	37000	42320	14	14	14:48:29.655	2937	2926	11
2017.01	2934	6765	28488	30338	35000	38063	262	71	11:29:31.752	3934	2919	15
2017.02	2949	6620	30416	32551	38000	39584	240	234	14:44:08.517	2949	2945	4
2017.03	2938	7189	31988	34255	40100	42023	214	7	09:01:58.777	2938	2930	8
2017.04	2942	6939	34709	37150	41100	44390	29	5	09:25:52.992	2942	2930	12
2017.05	2945	6822	37354	39147	42300	45573	18	14	14:01:14.428	2945	2928	17
2017.06	2950	6545	38043	40269	44300	46759	56	7	09:08:06.189	2950	2941	9
2017.07	2942	6633	28694	40820	46000	47674	200	118	13:21:06.641	2942	2934	8
2017.08	2941	6978	41346	42702	49300	51282	53	48	14:24:43.270	2941	2939	2
2017.09	2935	12016	44786	47559	56800	58538	337	70	13:00:50.827	2935	2930	5
2017.10	2938	12205	45458	48871	65300	67408	80	68	14:51:37.999	2938	2930	8
2017.11	2941	11039	55612	59967	79200	82534	116	24	14:27:49.550	2941	2906	35
2017.12	2968	7675	60699	65927	82500	95103	1	1	13:50:36.268	2968	2924	44
2018.01	2934	5599	53183	56836	10000	71143	18	18	14:58:44.726	2828	2502	432
2018.02	3366	28093	18799	19938	38800	44954	263	63	13:07:41.561	3366	3342	24
2018.03	2958	20655	26205	29047	56400	59832	6	5	14:51:17.308	2958	2944	14
2018.04	2948	24334	31224	34808	68000	71967	131	131	14:59:47.662	2948	2926	22
2018.05	2955	18208	33043	36573	58000	71845	61	69	14:33:33.348    2955	2955	0
2018.06	2950	15000	34578	37863	50000	60000	0	0	14:00:00.000	2950	2950	0
2018.07	2967	13983	34775	37724	51000	57802	40	29	13:54:59.494	2967	2956	11
2018.08	2944	14082	34657	37260	52800	56713	72	41	14:03:06.956	2944	2933	11
2018.09	2944	14049	35468	37786	55100	58197	112	26	12:37:38.771	2944	2934	10
2018.10	2943	13414	36396	39654	58000	61961	104	30	11:21:38.323	2943	2925	18
2018.11	2951	13615	37972	40930	58900	64986	10	4	10:39:14.885	2951	2928	23
2018.12	2956	14198	32370	34928	46900	57185	10	4	11:18:13.174	2956	2922	34
2019.01	2934	28158	24653	27222	46000	50090	451	100	14:21:15.565	2934	2921	13
2019.02	2947	30286	30423	34136	55200	57644	88	1	09:00:19.504	2947	2938	9
2019.03	2943	23502	39924	43255	65000	67667	302	1	09:00:15.140	2943	2926	17
2019.04	2951	17959	41754	45184	67500	71301	39	23	14:19:52.595	2951	2933	18
2019.05	2951	13856	43955	47034	60100	69873	58	2	09:01:34.889	2951	2896	55
